lick,time_bin
0,4.025866613140772
0,4.0758666131407715
0,4.125866613140771
0,4.175866613140772
0,4.225866613140772
0,4.275866613140772
0,4.3258666131407715
0,4.375866613140771
0,4.425866613140772
0,4.475866613140772
0,4.525866613140772
0,4.5758666131407715
0,4.625866613140772
0,4.675866613140772
0,4.725866613140772
0,4.775866613140772
0,4.8258666131407715
0,4.875866613140772
0,4.925866613140772
0,4.975866613140772
0,5.025866613140772
0,5.0758666131407715
0,5.125866613140772
0,5.175866613140772
0,5.225866613140772
0,5.275866613140772
0,5.3258666131407715
0,5.375866613140772
0,5.425866613140772
0,5.475866613140772
0,5.525866613140772
0,5.5758666131407715
0,5.625866613140772
0,5.675866613140772
0,5.725866613140772
0,5.775866613140772
0,5.8258666131407715
0,5.875866613140772
0,5.925866613140772
0,5.975866613140772
0,6.025866613140772
0,6.0758666131407715
0,6.125866613140772
0,6.175866613140771
0,6.225866613140772
0,6.275866613140772
0,6.3258666131407715
0,6.375866613140772
0,6.425866613140772
0,6.475866613140772
0,6.525866613140772
0,6.5758666131407715
0,6.625866613140772
0,6.675866613140772
0,6.725866613140772
0,6.775866613140772
0,6.8258666131407715
0,6.875866613140772
0,6.925866613140772
0,6.975866613140772
0,7.025866613140772
0,7.0758666131407715
0,7.125866613140772
0,7.175866613140772
0,7.225866613140772
0,7.275866613140772
0,7.3258666131407715
0,7.375866613140772
0,7.425866613140772
0,7.475866613140772
0,7.525866613140772
0,7.5758666131407715
0,7.625866613140772
0,7.675866613140772
0,7.725866613140772
0,7.775866613140772
0,7.8258666131407715
0,7.875866613140772
0,7.925866613140772
0,7.975866613140772
0,8.02586661314077
0,8.075866613140771
0,8.125866613140772
0,8.175866613140773
0,8.225866613140772
0,8.27586661314077
0,8.325866613140771
0,8.375866613140772
0,8.425866613140773
0,8.475866613140772
0,8.52586661314077
0,8.575866613140771
0,8.625866613140772
0,8.675866613140773
0,8.725866613140772
0,8.77586661314077
0,8.825866613140771
0,8.875866613140772
0,8.925866613140773
